File Name, Data Type, RAxML Model, Baliphy Model
AL00056022.faa,Amino-Acids,LG,LG
AL00056276.faa,Amino-Acids,LG,LG
AL00057282.faa,Amino-Acids,FLUF,WAG
AL00057413.faa,Amino-Acids,LG,LG
AL00057468.faa,Amino-Acids,DCMUT,WAG
AL00057492.faa,Amino-Acids,DCMUT,WAG
AL00063410.faa,Amino-Acids,LG,LG
AL00063412.faa,Amino-Acids,LG,LG
AL00063492.faa,Amino-Acids,RTREVF,LG
AL00063763.faa,Amino-Acids,LG,LG
AL00064294.faa,Amino-Acids,LG,LG
AL00068994.faa,Amino-Acids,LG,LG
AL00069117.faa,Amino-Acids,PMB,WAG
AL00069381.faa,Amino-Acids,VT,WAG
AL00069394.faa,Amino-Acids,RTREVF,LG
AL00069572.faa,Amino-Acids,LG,LG
AL00074653.faa,Amino-Acids,LG,LG
AL00082614.faa,Amino-Acids,LG,LG
AL00088696.faa,Amino-Acids,LG,LG
AL00088995.faa,Amino-Acids,LG,LG
AL00089048.faa,Amino-Acids,LG,LG
AL00089447.faa,Amino-Acids,LG,LG
AL00089623.faa,Amino-Acids,LG,LG
AL00089800.faa,Amino-Acids,BLOSUM62,WAG
AL00100877.faa,Amino-Acids,LGF,LG
AL00100897.faa,Amino-Acids,FLU,WAG
AL00101215.faa,Amino-Acids,LG,LG
AL00102031.faa,Amino-Acids,LG,LG
AL00103575.faa,Amino-Acids,LG,LG
AL00109622.faa,Amino-Acids,LG,LG
AL10047861.faa,Amino-Acids,WAG,WAG
AL10048599.faa,Amino-Acids,LG,LG
AL10050021.faa,Amino-Acids,PMB,WAG
AL10050155.faa,Amino-Acids,LG,LG
AL10050335.faa,Amino-Acids,LG,LG
AL10050412.faa,Amino-Acids,BLOSUM62,LG
AL10050464.faa,Amino-Acids,BLOSUM62F,LG
AL10050712.faa,Amino-Acids,BLOSUM62,LG
AL10050815.faa,Amino-Acids,WAGF,WAG
AL10050875.faa,Amino-Acids,LGF,WAG
AL10051306.faa,Amino-Acids,WAG,WAG
AL10051350.faa,Amino-Acids,BLOSUM62,LG
AL10051367.faa,Amino-Acids,LG,LG
AL10051735.faa,Amino-Acids,BLOSUM62,LG
AL10052799.faa,Amino-Acids,BLOSUM62,LG
AL10053335.faa,Amino-Acids,PMB,LG
AL10053473.faa,Amino-Acids,LGF,LG
AL10054446.faa,Amino-Acids,LG,LG
AL10054592.faa,Amino-Acids,LGF,LG
AL10054593.faa,Amino-Acids,LGF,LG
AL10054814.faa,Amino-Acids,RTREV,LG
AL10056276.faa,Amino-Acids,WAG,WAG
AL10057468.faa,Amino-Acids,BLOSUM62,JTT
AL10057491.faa,Amino-Acids,DCMUT,WAG
AL10063410.faa,Amino-Acids,BLOSUM62,LG
AL10063562.faa,Amino-Acids,LG,LG
AL10063763.faa,Amino-Acids,WAG,WAG
AL10069117.faa,Amino-Acids,PMBF,LG
AL10074933.faa,Amino-Acids,WAG,WAG
AL10089447.faa,Amino-Acids,LG,LG
AL10101215.faa,Amino-Acids,LG,LG
AL10109622.faa,Amino-Acids,LG,LG
AL20089447.faa,Amino-Acids,LG,LG
