File Name, Data Type, RAxML Model, Baliphy Model
SF076.faa,Amino-Acids,LGF,LG
SF077.faa,Amino-Acids,BLOSUM62,LG
SF079.faa,Amino-Acids,BLOSUM62F,WAG
SF081.faa,Amino-Acids,LG,LG
SF082.faa,Amino-Acids,LG,LG
SF085.faa,Amino-Acids,LG,LG
SF086.faa,Amino-Acids,LG,LG
SF087.faa,Amino-Acids,WAGF,WAG
SF088.faa,Amino-Acids,LG,LG
SF091.faa,Amino-Acids,LG,LG
SF092.faa,Amino-Acids,BLOSUM62,LG
SF093.faa,Amino-Acids,LG,LG
SF096.faa,Amino-Acids,LG,LG
SF097.faa,Amino-Acids,VT,LG
SF098.faa,Amino-Acids,BLOSUM62F,LG
SF099.faa,Amino-Acids,LG,LG
SF100.faa,Amino-Acids,BLOSUM62F,LG
SF102.faa,Amino-Acids,PMB,LG
SF103.faa,Amino-Acids,RTREVF,LG
SF104.faa,Amino-Acids,RTREVF,LG
SF106.faa,Amino-Acids,FLUF,WAG
SF108.faa,Amino-Acids,LG,LG
SF109.faa,Amino-Acids,LG,LG
SF110.faa,Amino-Acids,LG,LG
SF111.faa,Amino-Acids,LGF,LG
SF112.faa,Amino-Acids,RTREVF,LG
SF113.faa,Amino-Acids,BLOSUM62F,WAG
SF116.faa,Amino-Acids,BLOSUM62F,LG
SF117.faa,Amino-Acids,LG,LG
SF118.faa,Amino-Acids,LG,LG
SF119.faa,Amino-Acids,LGF,LG
SF120.faa,Amino-Acids,PMBF,WAG
SF121.faa,Amino-Acids,RTREVF,WAG
SF123.faa,Amino-Acids,LG,LG
SF124.faa,Amino-Acids,BLOSUM62F,WAG
SF128.faa,Amino-Acids,LG,LG
SF129.faa,Amino-Acids,LGF,LG
SF130.faa,Amino-Acids,BLOSUM62F,LG
SF131.faa,Amino-Acids,LG,LG
SF133.faa,Amino-Acids,BLOSUM62,WAG
SF134.faa,Amino-Acids,LG,LG
SF135.faa,Amino-Acids,LG,LG
SF137.faa,Amino-Acids,LG,LG
SF138.faa,Amino-Acids,LGF,WAG
SF139.faa,Amino-Acids,BLOSUM62F,LG
SF140.faa,Amino-Acids,LG,LG
SF141.faa,Amino-Acids,LG,LG
SF142.faa,Amino-Acids,LG,LG
SF144.faa,Amino-Acids,LGF,LG
SF145.faa,Amino-Acids,PMBF,LG
SF146.faa,Amino-Acids,BLOSUM62F,LG
SF148.faa,Amino-Acids,BLOSUM62F,LG
SF149.faa,Amino-Acids,LG,LG
SF150.faa,Amino-Acids,LG,LG
SF151.faa,Amino-Acids,LGF,LG
SF153.faa,Amino-Acids,LG,LG
SF154.faa,Amino-Acids,LG,LG
SF156.faa,Amino-Acids,PMB,WAG
SF158.faa,Amino-Acids,LG,LG
SF159.faa,Amino-Acids,BLOSUM62,LG
SF160.faa,Amino-Acids,LG,LG
SF161.faa,Amino-Acids,LGF,LG
SF163.faa,Amino-Acids,LGF,LG
SF164.faa,Amino-Acids,PMBF,LG
SF165.faa,Amino-Acids,LG,LG
SF168.faa,Amino-Acids,VT,LG
SF169.faa,Amino-Acids,LGF,WAG
SF170.faa,Amino-Acids,RTREV,LG
SF171.faa,Amino-Acids,BLOSUM62F,LG
SF172.faa,Amino-Acids,FLUF,LG
SF173.faa,Amino-Acids,LG,LG
SF174.faa,Amino-Acids,LG,LG
SF175.faa,Amino-Acids,LG,LG
SF176.faa,Amino-Acids,PMBF,LG
SF177.faa,Amino-Acids,WAGF,WAG
SF178.faa,Amino-Acids,PMB,WAG
SF180.faa,Amino-Acids,LG,LG
SF181.faa,Amino-Acids,LG,LG
SF183.faa,Amino-Acids,LG,LG
SF184.faa,Amino-Acids,LG,LG
SF185.faa,Amino-Acids,LG,LG
SF187.faa,Amino-Acids,LG,LG
SF188.faa,Amino-Acids,LG,LG
SF190.faa,Amino-Acids,BLOSUM62F,LG
SF191.faa,Amino-Acids,WAGF,WAG
SF192.faa,Amino-Acids,LG,LG
SF194.faa,Amino-Acids,LG,LG
SF197.faa,Amino-Acids,LGF,LG
SF198.faa,Amino-Acids,BLOSUM62F,WAG
SF199.faa,Amino-Acids,LGF,LG
SF200.faa,Amino-Acids,BLOSUM62F,LG
SF202.faa,Amino-Acids,VTF,LG
SF203.faa,Amino-Acids,BLOSUM62F,LG
SF204.faa,Amino-Acids,BLOSUM62F,LG
SF205.faa,Amino-Acids,LG,LG
SF207.faa,Amino-Acids,LG,LG
SF208.faa,Amino-Acids,LGF,LG
SF209.faa,Amino-Acids,BLOSUM62F,LG
SF210.faa,Amino-Acids,BLOSUM62F,LG
SF212.faa,Amino-Acids,LG,LG
SF213.faa,Amino-Acids,PMB,WAG
SF215.faa,Amino-Acids,LGF,LG
SF216.faa,Amino-Acids,BLOSUM62F,LG
SF217.faa,Amino-Acids,LG,LG
SF219.faa,Amino-Acids,BLOSUM62F,LG
SF220.faa,Amino-Acids,LG,LG
SF221.faa,Amino-Acids,LG,LG
SF222.faa,Amino-Acids,WAGF,LG
SF223.faa,Amino-Acids,CPREV,LG
SF224.faa,Amino-Acids,LG,LG
SF225.faa,Amino-Acids,LG,LG
SF226.faa,Amino-Acids,LG,LG
SF227.faa,Amino-Acids,BLOSUM62,LG
SF229.faa,Amino-Acids,BLOSUM62,LG
SF230.faa,Amino-Acids,LGF,LG
SF237.faa,Amino-Acids,LG,LG
SF238.faa,Amino-Acids,WAGF,LG
SF239.faa,Amino-Acids,WAGF,WAG
SF240.faa,Amino-Acids,LG,LG
SF241.faa,Amino-Acids,LG,LG
SF243.faa,Amino-Acids,LG,LG
SF244.faa,Amino-Acids,PMBF,WAG
SF245.faa,Amino-Acids,BLOSUM62F,WAG
SF248.faa,Amino-Acids,LG,LG
SF250.faa,Amino-Acids,LGF,LG
SF251.faa,Amino-Acids,LG,LG
SF252.faa,Amino-Acids,LG,LG
SF253.faa,Amino-Acids,LG,LG
SF254.faa,Amino-Acids,BLOSUM62F,LG
SF255.faa,Amino-Acids,LG,LG
SF256.faa,Amino-Acids,RTREVF,LG
SF257.faa,Amino-Acids,RTREVF,LG
SF260.faa,Amino-Acids,WAGF,WAG
SF261.faa,Amino-Acids,RTREVF,LG
SF263.faa,Amino-Acids,LG,LG
SF264.faa,Amino-Acids,LGF,LG
SF266.faa,Amino-Acids,LG,LG
SF268.faa,Amino-Acids,LG,LG
SF269.faa,Amino-Acids,WAGF,LG
SF270.faa,Amino-Acids,WAG,WAG
SF271.faa,Amino-Acids,LG,LG
SF272.faa,Amino-Acids,BLOSUM62,LG
SF273.faa,Amino-Acids,LG,LG
SF274.faa,Amino-Acids,LG,LG
SF275.faa,Amino-Acids,WAG,WAG
SF279.faa,Amino-Acids,LGF,WAG
SF281.faa,Amino-Acids,LG,LG
SF283.faa,Amino-Acids,LG,LG
SF285.faa,Amino-Acids,RTREVF,LG
SF290.faa,Amino-Acids,BLOSUM62F,WAG
SF291.faa,Amino-Acids,LG,LG
SF292.faa,Amino-Acids,LGF,LG
SF294.faa,Amino-Acids,VT,LG
SF295.faa,Amino-Acids,LG,LG
SF296.faa,Amino-Acids,LG,LG
SF299.faa,Amino-Acids,LG,LG
SF300.faa,Amino-Acids,LG,LG
SF302.faa,Amino-Acids,BLOSUM62F,LG
SF303.faa,Amino-Acids,LG,LG
SF304.faa,Amino-Acids,WAGF,WAG
SF305.faa,Amino-Acids,LGF,LG
SF306.faa,Amino-Acids,PMBF,WAG
SF307.faa,Amino-Acids,BLOSUM62,LG
SF311.faa,Amino-Acids,LG,LG
SF313.faa,Amino-Acids,WAG,WAG
SF315.faa,Amino-Acids,BLOSUM62F,WAG
SF316.faa,Amino-Acids,LGF,LG
SF318.faa,Amino-Acids,LG,LG
SF319.faa,Amino-Acids,LGF,LG
SF320.faa,Amino-Acids,LGF,WAG
TL001.faa,Amino-Acids,LG,LG
TL008.faa,Amino-Acids,LG,LG
TL026.faa,Amino-Acids,LG,LG
TL028.faa,Amino-Acids,LG,LG
TL046.faa,Amino-Acids,LG,LG
TL079.faa,Amino-Acids,LG,LG
TL142.faa,Amino-Acids,LG,LG
TL167.faa,Amino-Acids,LG,LG
TL239.faa,Amino-Acids,LG,LG
TL258.faa,Amino-Acids,LG,LG
TL272.faa,Amino-Acids,LG,LG
TL306.faa,Amino-Acids,LG,LG
TL327.faa,Amino-Acids,LG,LG
TL332.faa,Amino-Acids,LG,LG
TL346.faa,Amino-Acids,LG,LG
TL347.faa,Amino-Acids,LG,LG
TL366.faa,Amino-Acids,LG,LG
TL379.faa,Amino-Acids,LG,LG
TL400.faa,Amino-Acids,LG,LG
TL413.faa,Amino-Acids,LG,LG
TL436.faa,Amino-Acids,LG,LG
TL443.faa,Amino-Acids,LG,LG
TL473.faa,Amino-Acids,LG,LG
TL526.faa,Amino-Acids,LG,LG
TL548.faa,Amino-Acids,LG,LG
TL553.faa,Amino-Acids,LG,LG
TL567.faa,Amino-Acids,LG,LG
TL568.faa,Amino-Acids,LG,LG
TL587.faa,Amino-Acids,LG,LG
TL639.faa,Amino-Acids,LG,LG
TL657.faa,Amino-Acids,LG,LG
TL704.faa,Amino-Acids,LG,LG
TL722.faa,Amino-Acids,LG,LG
TL788.faa,Amino-Acids,LG,LG
