Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
MAFFT-H-LargeDB,0.536930690206,0.588195019856,0.562562855031,0.28879035223,0.536930690206,0.785881023494,0.805280952481,0.888234113693,6.26,377.43,279.145,234.605,0.143153262868,0.418629669779,7.80323755829,2.9625,0.536930690206,0.588195019856,0.28879035223,0.785881023494,19.6866125757
MAFFT-Homologs,0.532731241866,0.585446396518,0.559088819192,0.279953373329,0.532731241866,0.784807694599,0.804245329268,0.887911915434,6.55,389.903846154,287.946153846,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.532731241866,0.585446396518,0.279953373329,0.784807694599,19.882588175
Muscle,0.457805691398,0.50815344107,0.482979566234,0.216732041867,0.457805691398,0.748471201405,0.804245329268,0.887911915434,6.55,389.903846154,269.35,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.457805691398,0.50815344107,0.216732041867,0.748471201405,19.882588175
Praline,0.413564573926,0.453536151464,0.433550362695,0.18177020066,0.413564573926,0.719927922455,0.804451056198,0.888128338246,6.55598455598,389.444015444,255.691119691,238.486486486,0.141536436641,0.422186683365,7.64743213659,2.87065637066,0.413564573926,0.453536151464,0.18177020066,0.719927922455,19.8747989402
Prank,0.44878510394,0.455658278895,0.452221691418,0.191183661699,0.44878510394,0.913759901908,0.804245329268,0.887911915434,6.55,389.903846154,345.75,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.44878510394,0.455658278895,0.191183661699,0.913759901908,19.882588175
Prime,0.469616243097,0.520072967411,0.494844605254,0.226443332022,0.469616243097,0.770186912396,0.804245329268,0.887911915434,6.55,389.903846154,279.996153846,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.469616243097,0.520072967411,0.226443332022,0.770186912396,19.882588175
ProbAlign,0.514067328093,0.542727702924,0.528397515509,0.243149552645,0.514067328093,0.854419094872,0.804245329268,0.887911915434,6.55,389.903846154,317.857692308,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.514067328093,0.542727702924,0.243149552645,0.854419094872,19.882588175
ProbCons,0.34747509991,0.36851950973,0.35799730482,0.176626046743,0.34747509991,0.783096689585,0.804245329268,0.887911915434,6.55,389.903846154,272.530769231,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.34747509991,0.36851950973,0.176626046743,0.783096689585,19.882588175
Promals,0.63396324368,0.69435697405,0.664160108865,0.383512278717,0.63396324368,0.80694831143,0.804245329268,0.887911915434,6.55,389.903846154,299.730769231,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.63396324368,0.69435697405,0.383512278717,0.80694831143,19.882588175
SAPD,0.647010779291,0.407959750672,0.527485264982,0.212965768336,0.647010779291,1.62502622287,0.805284033504,0.887906820825,6.30588235294,385.792156863,615.525490196,238.415686275,0.141513568,0.418939703631,7.5844809516,2.86862745098,0.647010779291,0.407959750672,0.212965768336,1.62502622287,19.2067869161
SAPDMul,0.577789221746,0.454695503977,0.516242362861,0.219654333876,0.577789221746,1.33623502994,0.805284033504,0.887906820825,6.30588235294,385.792156863,497.71372549,238.415686275,0.141513568,0.418939703631,7.5844809516,2.86862745098,0.577789221746,0.454695503977,0.219654333876,1.33623502994,19.2067869161
SAPDSum,0.669576081008,0.369138503105,0.519357292057,0.189202655176,0.669576081008,1.76537874759,0.805284033504,0.887906820825,6.30588235294,385.792156863,660.317647059,238.415686275,0.141513568,0.418939703631,7.5844809516,2.86862745098,0.669576081008,0.369138503105,0.189202655176,1.76537874759,19.2067869161
TCoffee,0.692768995232,0.755709428224,0.724239211728,0.454812218027,0.692768995232,0.81659769857,0.804497492647,0.888185872696,6.53488372093,384.666666667,297.643410853,236.062015504,0.141225521398,0.421001624989,7.60425208049,2.84689922481,0.692768995232,0.755709428224,0.454812218027,0.81659769857,19.894867067
